SVclockBias,SVclockDrift,SVclockDriftRate,IODE,Crs,DeltaN,M0,Cuc,Eccentricity,Cus,sqrtA,Toe,Cic,Omega0,Cis,Io,Crc,omega,OmegaDot,IDOT,CodesL2,GPSWeek,L2Pflag,SVacc,health,TGD,IODC,TransTime,FitIntvl
8.64546746015e-06,3.64934749086e-11,0.0,39.0,95.65625,4.72305387701e-09,3.12581257613,5.07198274136e-06,0.000208507641219,1.23493373394e-06,5153.75524902,259200.0,7.63684511185e-08,-1.78289601234,8.19563865662e-08,0.95964542881,352.84375,-1.31797572842,-8.44285167866e-09,1.58220876249e-10,1.0,2347.0,0.0,2.0,63.0,-1.39698386192e-09,39.0,252018.0,4.0
-0.000278713647276,8.98126018001e-12,0.0,60.0,131.15625,4.45054252582e-09,3.02544072657,6.88806176186e-06,0.0165451613721,2.38418579102e-06,5153.68646431,259200.0,2.03028321266e-07,-1.94769725814,3.35276126862e-07,0.966387275075,333.28125,-1.06413166963,-8.02176271004e-09,1.94293807403e-10,1.0,2347.0,0.0,2.0,0.0,-1.76951289177e-08,60.0,252018.0,4.0
0.00063690636307,7.95807864051e-12,0.0,185.0,-105.5,4.02016745611e-09,-0.408189638897,-5.53764402866e-06,0.00566551298834,2.27428972721e-06,5153.60616112,259200.0,-4.28408384323e-08,-0.808212441064,5.02914190292e-08,0.987643852199,347.875,1.14633065487,-8.13855328913e-09,-3.37514058815e-10,1.0,2347.0,0.0,2.8,0.0,1.39698386192e-09,185.0,258618.0,4.0
0.000504887662828,6.02540239925e-12,0.0,11.0,-88.75,3.97159400426e-09,2.57757618614,-4.64543700218e-06,0.00323293788824,1.13025307655e-05,5153.68481445,259200.0,-2.60770320892e-08,0.267774718143,-1.86264514923e-08,0.966982346262,165.875,-2.96711146173,-7.60103089916e-09,2.60010830495e-10,1.0,2347.0,0.0,2.0,0.0,-4.65661287308e-09,779.0,258090.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.5995066911e-05,-2.76259015664e-11,0.0,76.0,107.65625,4.01945314064e-09,0.958998721003,5.47058880329e-06,0.00343091983814,1.50874257088e-06,5153.75962067,259200.0,8.00937414169e-08,-1.84444587086,-8.00937414169e-08,0.98910930259,363.1875,-0.732060889983,-8.07390773924e-09,1.58220876249e-10,1.0,2347.0,0.0,2.0,0.0,3.72529029846e-09,76.0,254472.0,4.0
-1.41230411828e-05,6.8212102633e-13,0.0,114.0,19.875,5.08735476589e-09,0.135970474688,1.15297734737e-06,0.0188937981147,6.77816569805e-06,5153.75185966,259200.0,-2.23517417908e-07,1.27914220959,3.01748514175e-07,0.949964365075,247.125,-2.08632245954,-8.43999441679e-09,5.36808074497e-10,1.0,2347.0,0.0,2.8,0.0,-1.07102096081e-08,114.0,252018.0,4.0
0.000451267696917,8.29913915368e-12,0.0,48.0,90.9375,4.4555427341e-09,2.89742264384,4.75533306599e-06,0.0102637956152,1.13788992167e-05,5153.73753357,259200.0,-1.24797224999e-07,-2.94795658586,-7.264316082e-08,0.950254262773,154.9375,0.396153110282,-7.66031908304e-09,-2.60725145963e-10,1.0,2347.0,0.0,2.0,0.0,4.65661287308e-09,48.0,252020.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.000257689505816,-1.5916157281e-11,0.0,24.0,-103.78125,3.94302138552e-09,-1.42789015018,-5.42029738426e-06,0.0101162384963,1.70804560184e-06,5153.68432236,259200.0,3.09199094772e-07,-0.810737295765,-4.65661287308e-08,0.987267232717,359.78125,-2.33483092402,-7.94140221985e-09,-3.30370904131e-10,1.0,2347.0,0.0,2.0,0.0,2.32830643654e-09,24.0,252018.0,4.0
