Dataset,Model,RMSE (m),MAE (m),Shapiro p,Normal?
GEO,LSTM,6.5068,4.6427,0.0000,NO
GEO,Transformer,6.6611,4.6196,0.0000,NO
GEO,Probabilistic,6.6459,4.6255,0.0000,NO
MEO1,LSTM,0.1733,0.1538,0.9755,YES
MEO1,Transformer,0.1437,0.1262,0.0387,NO
MEO1,Probabilistic,0.1934,0.1700,0.0523,YES
MEO2,LSTM,0.2237,0.2061,0.5391,YES
MEO2,Transformer,0.1529,0.1313,0.2493,YES
MEO2,Probabilistic,0.2227,0.2053,0.5771,YES
